500.,0.338E+02,7.86E-02
505.,0.319E+02,7.89E-02
510.,0.301E+02,7.92E-02
515.,0.284E+02,7.96E-02
520.,0.268E+02,8.0E-02
525.,0.253E+02,8.03E-02
530.,0.240E+02,8.07E-02
535.,0.227E+02,8.11E-02
540.,0.214E+02,8.14E-02
545.,0.203E+02,8.18E-02
550.,0.192E+02,8.22E-02
555.,0.182E+02,8.26E-02
560.,0.172E+02,8.3E-02
565.,0.163E+02,8.34E-02
570.,0.155E+02,8.37E-02
575.,0.147E+02,8.41E-02
580.,0.139E+02,8.45E-02
585.,0.132E+02,8.49E-02
590.,0.126E+02,8.53E-02
595.,0.119E+02,8.57E-02
600.,0.113E+02,8.62E-02
605.,0.108E+02,8.66E-02
610.,0.102E+02,8.7E-02
615.,0.974E+01,8.74E-02
620.,0.926E+01,8.78E-02
625.,0.881E+01,8.82E-02
630.,0.839E+01,8.86E-02
635.,0.799E+01,8.9E-02
640.,0.761E+01,8.94E-02
645.,0.725E+01,8.98E-02
650.,0.690E+01,9.02E-02
655.,0.658E+01,9.06E-02
660.,0.627E+01,9.1E-02
665.,0.598E+01,9.15E-02
670.,0.571E+01,9.19E-02
675.,0.544E+01,9.23E-02
680.,0.520E+01,9.27E-02
685.,0.496E+01,9.31E-02
690.,0.474E+01,9.35E-02
695.,0.452E+01,9.39E-02
700.,0.432E+01,9.43E-02
705.,0.413E+01,9.46E-02
710.,0.395E+01,9.5E-02
715.,0.377E+01,9.54E-02
720.,0.361E+01,9.58E-02
725.,0.345E+01,9.61E-02
730.,0.330E+01,9.65E-02
735.,0.316E+01,9.69E-02
740.,0.302E+01,9.72E-02
745.,0.289E+01,9.76E-02
750.,0.277E+01,9.8E-02
755.,0.265E+01,9.83E-02
760.,0.254E+01,9.87E-02
765.,0.243E+01,9.91E-02
770.,0.233E+01,9.94E-02
775.,0.223E+01,9.98E-02
780.,0.214E+01,10.01E-02
785.,0.205E+01,10.05E-02
790.,0.197E+01,10.09E-02
795.,0.188E+01,10.12E-02
800.,0.181E+01,10.16E-02
805.,0.173E+01,10.2E-02
810.,0.166E+01,10.23E-02
815.,0.160E+01,10.27E-02
820.,0.153E+01,10.31E-02
825.,0.147E+01,10.34E-02
830.,0.141E+01,10.38E-02
835.,0.136E+01,10.42E-02
840.,0.130E+01,10.45E-02
845.,0.125E+01,10.49E-02
850.,0.120E+01,10.53E-02
855.,0.115E+01,10.57E-02
860.,0.111E+01,10.6E-02
865.,0.107E+01,10.64E-02
870.,0.103E+01,10.68E-02
875.,0.986E+00,10.71E-02
880.,0.948E+00,10.75E-02
885.,0.912E+00,10.79E-02
890.,0.877E+00,10.82E-02
895.,0.844E+00,10.86E-02
900.,0.812E+00,10.89E-02
905.,0.781E+00,10.93E-02
910.,0.752E+00,10.97E-02
915.,0.723E+00,11.0E-02
920.,0.696E+00,11.04E-02
925.,0.670E+00,11.07E-02
930.,0.646E+00,11.11E-02
935.,0.622E+00,11.14E-02
940.,0.599E+00,11.18E-02
945.,0.577E+00,11.21E-02
950.,0.556E+00,11.25E-02
955.,0.535E+00,11.28E-02
960.,0.516E+00,11.32E-02
965.,0.497E+00,11.35E-02
970.,0.479E+00,11.39E-02
975.,0.462E+00,11.42E-02
980.,0.445E+00,11.46E-02
985.,0.430E+00,11.49E-02
990.,0.414E+00,11.53E-02
995.,0.399E+00,11.56E-02
1000.,0.385E+00,11.6E-02
1005.,0.372E+00,11.63E-02
1010.,0.359E+00,11.67E-02
1015.,0.346E+00,11.7E-02
1020.,0.334E+00,11.74E-02
1025.,0.322E+00,11.78E-02
1030.,0.311E+00,11.81E-02
1035.,0.300E+00,11.85E-02
1040.,0.290E+00,11.88E-02
1045.,0.280E+00,11.92E-02
1050.,0.270E+00,11.95E-02
1055.,0.261E+00,11.99E-02
1060.,0.252E+00,12.02E-02
1065.,0.243E+00,12.06E-02
1070.,0.235E+00,12.09E-02
1075.,0.227E+00,12.13E-02
1080.,0.219E+00,12.17E-02
1085.,0.212E+00,12.2E-02
1090.,0.205E+00,12.24E-02
1095.,0.198E+00,12.27E-02
1100.,0.191E+00,12.31E-02
1105.,0.185E+00,12.34E-02
1110.,0.179E+00,12.38E-02
1115.,0.173E+00,12.42E-02
1120.,0.167E+00,12.45E-02
1125.,0.162E+00,12.49E-02
1130.,0.156E+00,12.53E-02
1135.,0.151E+00,12.56E-02
1140.,0.146E+00,12.6E-02
1145.,0.141E+00,12.64E-02
1150.,0.137E+00,12.67E-02
1155.,0.132E+00,12.71E-02
1160.,0.128E+00,12.74E-02
1165.,0.124E+00,12.78E-02
1170.,0.120E+00,12.82E-02
1175.,0.116E+00,12.85E-02
1180.,0.112E+00,12.89E-02
1185.,0.109E+00,12.92E-02
1190.,0.105E+00,12.96E-02
1195.,0.102E+00,13.0E-02
1200.,0.985E-01,13.03E-02
1205.,0.953E-01,13.07E-02
1210.,0.923E-01,13.1E-02
1215.,0.894E-01,13.14E-02
1220.,0.866E-01,13.17E-02
1225.,0.838E-01,13.21E-02
1230.,0.812E-01,13.24E-02
1235.,0.786E-01,13.27E-02
1240.,0.762E-01,13.31E-02
1245.,0.738E-01,13.34E-02
1250.,0.715E-01,13.38E-02
1255.,0.692E-01,13.41E-02
1260.,0.671E-01,13.45E-02
1265.,0.650E-01,13.48E-02
1270.,0.630E-01,13.51E-02
1275.,0.610E-01,13.55E-02
1280.,0.591E-01,13.58E-02
1285.,0.573E-01,13.62E-02
1290.,0.556E-01,13.65E-02
1295.,0.539E-01,13.69E-02
1300.,0.522E-01,13.72E-02
